IPC Sport Data Management System;;;;;;;;;;;;;;
IPC Swimming Rankings - Rio 2016 Paralympic Games;;;;;;;;;;;;;;
User;;Guest;;;;;;;;;;;;
Timestamp;;Tue, 11 Aug 2015 12:47:49 +0200;;;;;;;;;;;;
Period Start;;15.10.2014;;;;;;;;;;;;
Period End;;14.8.2016;;;;;;;;;;;;
Course;;Long Course;;;;;;;;;;;;
;;;;;;;;;;;;;;
Event Code;Gender;Event;Rank;SDMS ID;Family Name;Given Name;NPC;Birth;Result;Time (ms);Qualification;Date;City;Country
SWMF5003030000;M;Men's 50 m Freestyle S3;1;3461;Vynohradets;Dmytro;UKR;1985;00:44.16;44160;MQS;16.7.2015;Glasgow;Great Britain
SWMF5003030000;M;Men's 50 m Freestyle S3;2;3434;Li;Hanhua;CHN;1982;00:44.25;44250;MQS;16.7.2015;Glasgow;Great Britain
SWMF5003030000;M;Men's 50 m Freestyle S3;3;3440;Min;Byeong-Eon;KOR;1985;00:45.00;45000;MQS;22.10.2014;Incheon;South Korea
SWMF5003030000;M;Men's 50 m Freestyle S3;4;7723;Meshcheryakov;Andrey;RUS;1984;00:45.60;45600;MQS;5.4.2015;Ramenskoe;Russia
SWMF5003030000;M;Men's 50 m Freestyle S3;5;26431;Boni;Vincenzo;ITA;1988;00:48.41;48410;MQS;16.7.2015;Glasgow;Great Britain
SWMF5003030000;M;Men's 50 m Freestyle S3;6;3428;Kostakis;Ioannis;GRE;1971;00:50.71;50710;MQS;16.7.2015;Glasgow;Great Britain
SWMF5003030000;M;Men's 50 m Freestyle S3;7;17385;Makarov;Alexander;RUS;1997;00:51.09;51090;MQS;16.7.2015;Glasgow;Great Britain
SWMF5003030000;M;Men's 50 m Freestyle S3;8;3478;Martinez Tajuelo;Miguel Angel;ESP;1984;00:52.52;52520;MQS;8.3.2015;Alcorcon (Madrid);Spain
SWMF5003030000;M;Men's 50 m Freestyle S3;9;8331;Patterson;Grant;AUS;1989;00:52.60;52600;MQS;16.7.2015;Glasgow;Great Britain
SWMF5003030000;M;Men's 50 m Freestyle S3;10;3634;Fredriksson;Mikael;SWE;1990;00:54.90;54900;MQS;27.3.2015;Glasgow;Great Britain
SWMF5003030000;M;Men's 50 m Freestyle S3;11;22577;Miasoiedov;Pavlo;UKR;1987;00:57.50;57500;MQS;3.4.2015;Dniprodzerzhynsk;Ukraine
SWMF5003030000;M;Men's 50 m Freestyle S3;12;3366;Kokarev;Dmitrii;RUS;1991;00:58.86;58860;MQS;16.7.2015;Glasgow;Great Britain
SWMF5003030000;M;Men's 50 m Freestyle S3;13;23165;Borges;Ivonei;BRA;1987;01:00.46;60460;MQS;4.7.2015;Sao Paulo;Brazil
SWMF5003030000;M;Men's 50 m Freestyle S3;14;3403;Demarco;Michael;USA;1969;01:01.04;61040;MQS;21.3.2015;Toronto, Ont.;Canada
SWMF5003030000;M;Men's 50 m Freestyle S3;15;3402;Czech;Jacek;POL;1976;01:01.88;61880;MQS;16.7.2015;Glasgow;Great Britain
SWMF5003030000;M;Men's 50 m Freestyle S3;16;3581;Makrodimitris;Aristeidis;GRE;1991;01:02.05;62050;MQS;16.5.2015;Athens;Greece
SWMF5003030000;M;Men's 50 m Freestyle S3;17;19802;Palamarchuk;Serhii;UKR;1989;01:02.30;62300;MET;3.4.2015;Dniprodzerzhynsk;Ukraine
SWMF5003030000;M;Men's 50 m Freestyle S3;18;3456;Tronco;Cristopher;MEX;1985;01:03.03;63030;MET;16.7.2015;Glasgow;Great Britain
SWMF5003030000;M;Men's 50 m Freestyle S3;19;3471;Bussi;Frederic;FRA;1986;01:03.16;63160;MET;7.3.2015;Dijon;France
SWMF5003030000;M;Men's 50 m Freestyle S3;20;7724;Kholukhoev;Magomed;RUS;1991;01:03.50;63500;MET;16.7.2015;Glasgow;Great Britain
SWMF5003030000;M;Men's 50 m Freestyle S3;21;14783;Panibratets;Ievgen;UKR;1983;01:05.60;65600;MET;3.4.2015;Dniprodzerzhynsk;Ukraine
SWMF5003030000;M;Men's 50 m Freestyle S3;22;17859;Boiko;Hennadii;UKR;1974;01:06.10;66100;MET;3.4.2015;Dniprodzerzhynsk;Ukraine
SWMF5003030000;M;Men's 50 m Freestyle S3;23;3317;Mamistvalov;Itzhak;ISR;1979;01:06.75;66750;MET;27.3.2015;Glasgow;Great Britain
SWMF5003030000;M;Men's 50 m Freestyle S3;24;22567;Lapchenko;Serhii;UKR;1993;01:06.90;66900;MET;3.4.2015;Dniprodzerzhynsk;Ukraine
SWMF5004010000;M;Men's 50 m Freestyle S4;1;14782;Mustafaev;Eskender;RUS;1981;00:38.17;38170;MQS;15.7.2015;Glasgow;Great Britain
SWMF5004010000;M;Men's 50 m Freestyle S4;2;19355;Jo;Giseong;KOR;1995;00:38.42;38420;MQS;15.7.2015;Glasgow;Great Britain
SWMF5004010000;M;Men's 50 m Freestyle S4;3;23765;;Mulyana;INA;1985;00:38.99;38990;MQS;22.10.2014;Incheon;South Korea
