Event Code,Gender,Event,Rank,SDMS ID,Family Name,Given Name,NPC,Birth,Result,Time (ms),Qualification,Date,City,Country
SWMF5003030000,M,Men's 50 m Freestyle S3,1,29710,Liu,Benying,CHN,1996,00:40.64,40640,MQS,2019-08-30,Tianjin,China
SWMF5003030000,M,Men's 50 m Freestyle S3,2,23453,Lopez Diaz,Diego,MEX,1994,00:42.64,42640,MQS,2019-04-05,Indianapolis,United States of America
SWMF5003030000,M,Men's 50 m Freestyle S3,3,29706,Zou,Liankang,CHN,1995,00:45.40,45400,MQS,2019-09-14,London,Great Britain
SWMF5003030000,M,Men's 50 m Freestyle S3,4,32247,Ostapchenko,Denys,UKR,2001,00:46.09,46090,MQS,2019-09-14,London,Great Britain
SWMF5003030000,M,Men's 50 m Freestyle S3,5,19802,Palamarchuk,Serhii,UKR,1989,00:46.64,46640,MQS,2019-05-03,Kamianske,Ukraine
SWMF5003030000,M,Men's 50 m Freestyle S3,6,26431,Boni,Vincenzo,ITA,1988,00:46.87,46870,MQS,2019-09-14,London,Great Britain
SWMF5003030000,M,Men's 50 m Freestyle S3,7,30132,Topf,Josia Tim Alexander,GER,2003,00:52.67,52670,MQS,2019-09-14,London,Great Britain
SWMF5003030000,M,Men's 50 m Freestyle S3,8,31816,Zarate Rodriguez,Marcos Rafael,MEX,1999,00:52.89,52890,MQS,2019-08-30,Lima,Peru
SWMF5003030000,M,Men's 50 m Freestyle S3,9,3478,Martinez Tajuelo,Miguel Angel,ESP,1984,00:53.33,53330,MQS,2019-03-30,MADRID,Spain
SWMF5003030000,M,Men's 50 m Freestyle S3,10,8331,Patterson,Grant,AUS,1989,00:53.50,53500,MQS,2019-04-11,Adelaide,Australia
SWMF5003030000,M,Men's 50 m Freestyle S3,11,3529,Kaewsri,Charkorn,THA,1973,00:53.53,53530,MQS,2018-10-10,Jakarta,Indonesia
SWMF5003030000,M,Men's 50 m Freestyle S3,12,3428,Kostakis,Ioannis,GRE,1971,00:54.02,54020,MQS,2019-04-06,Ptolemaida,Greece
SWMF5003030000,M,Men's 50 m Freestyle S3,13,10815,Kelly,Ahmed,AUS,1991,00:55.68,55680,MET,2019-04-11,Adelaide,Australia
SWMF5003030000,M,Men's 50 m Freestyle S3,14,29068,Beliaev,Aleksandr,RUS,1988,00:56.89,56890,MET,2019-09-14,London,Great Britain
SWMF5003030000,M,Men's 50 m Freestyle S3,15,41242,dos Santos Araujo,Gabriel Geraldo,BRA,2002,00:57.88,57880,MET,2019-08-30,Lima,Peru
SWMF5003030000,M,Men's 50 m Freestyle S3,16,28139,Abarza,Alberto,CHI,1984,00:59.01,59010,MET,2019-04-05,Indianapolis,United States of America
SWMF5003030000,M,Men's 50 m Freestyle S3,17,18624,Otowski,Kamil,POL,1999,01:00.20,60200,MET,2018-11-17,Szczecin,Poland
SWMF5003030000,M,Men's 50 m Freestyle S3,18,23976,Elsayed,Youssef,EGY,1997,01:01.66,61660,MET,2019-09-14,London,Great Britain
SWMF5003030000,M,Men's 50 m Freestyle S3,19,29315,Becker Da Silva,Bruno,BRA,1990,01:02.47,62470,MET,2019-08-30,Lima,Peru
SWMF5003030000,M,Men's 50 m Freestyle S3,20,26958,Danilenko,Vladimir,RUS,1999,01:02.95,62950,MET,2019-05-14,Dzerzhinsk,Russia
SWMF5003030000,M,Men's 50 m Freestyle S3,21,3456,Tronco,Cristopher,MEX,1985,01:04.03,64030,MET,2019-08-30,Lima,Peru
SWMF5003030000,M,Men's 50 m Freestyle S3,22,41705,Dvorskyi,Yurii,UKR,1986,01:05.28,65280,MET,2019-05-03,Kamianske,Ukraine
SWMF5003030000,M,Men's 50 m Freestyle S3,23,14783,Panibratets,Ievgen,UKR,1983,01:05.36,65360,MET,2019-05-03,Kamianske,Ukraine
SWMF5004010000,M,Men's 50 m Freestyle S4,1,3693,Leslie,Cameron,NZL,1990,00:37.14,37140,MQS,2019-09-13,London,Great Britain
SWMF5004010000,M,Men's 50 m Freestyle S4,2,3713,Suzuki,Takayuki,JPN,1987,00:37.56,37560,MQS,2019-09-13,London,Great Britain
SWMF5004010000,M,Men's 50 m Freestyle S4,3,20545,Zhdanov,Roman,RUS,1998,00:39.14,39140,MQS,2019-09-13,London,Great Britain
SWMF5004010000,M,Men's 50 m Freestyle S4,4,19355,Jo,Giseong,KOR,1995,00:39.90,39900,MQS,2018-10-25,Jeonju,South Korea
SWMF5004010000,M,Men's 50 m Freestyle S4,5,20050,Topkin,Matz,EST,1998,00:40.26,40260,MQS,2019-06-08,Berlin,Germany
SWMF5004010000,M,Men's 50 m Freestyle S4,6,3613,Smetanine,David,FRA,1974,00:40.63,40630,MQS,2019-06-08,Berlin,Germany
SWMF5004010000,M,Men's 50 m Freestyle S4,7,3645,Petracek,Arnost,CZE,1991,00:41.01,41010,MQS,2019-09-13,London,Great Britain
SWMF5004010000,M,Men's 50 m Freestyle S4,8,14782,Mustafaev,Eskender,RUS,1981,00:41.58,41580,MQS,2019-05-14,Dzerzhinsk,Russia
SWMF5004010000,M,Men's 50 m Freestyle S4,9,3870,Sanchez Martinez,Gustavo,MEX,1994,00:41.78,41780,MQS,2019-08-25,Lima,Peru
SWMF5004010000,M,Men's 50 m Freestyle S4,10,36274,Ernhofer,Andreas,AUT,1997,00:41.87,41870,MQS,2019-06-01,Lignano Sabbiadoro,Italy
SWMF5004010000,M,Men's 50 m Freestyle S4,11,27035,Beggiato,Luigi,ITA,1998,00:42.14,42140,MQS,2019-06-01,Lignano Sabbiadoro,Italy
SWMF5004010000,M,Men's 50 m Freestyle S4,12,22473,Malyar,Ariel,ISR,2000,00:42.34,42340,MQS,2019-02-09,Netanya,Israel
SWMF5004010000,M,Men's 50 m Freestyle S4,13,17862,Derevinskyi,Andrii,UKR,1988,00:42.37,42370,MQS,2019-05-03,Kamianske,Ukraine
SWMF5004010000,M,Men's 50 m Freestyle S4,14,3554,Duric,Darko,SLO,1989,00:42.40,42400,MQS,2019-09-13,London,Great Britain
SWMF5004010000,M,Men's 50 m Freestyle S4,15,34764,Dadaon,Ami Omer,ISR,2000,00:42.86,42860,MQS,2019-03-16,Netanya,Israel
SWMF5004010000,M,Men's 50 m Freestyle S4,16,4146,Morelli,Efrem,ITA,1979,00:43.91,43910,MET,2019-05-04,Trieste,Italy
SWMF5004010000,M,Men's 50 m Freestyle S4,17,23455,Hernandez Hernandez,Jesus,MEX,1991,00:45.56,45560,MET,2019-09-13,London,Great Britain
SWMF5004010000,M,Men's 50 m Freestyle S4,18,7192,Brajsa,Tomi,CRO,1993,00:46.68,46680,MET,2019-09-13,London,Great Britain
SWMF5005010000,M,Men's 50 m Freestyle S5,1,3761,Dias,Daniel,BRA,1988,00:31.83,31830,MQS,2019-09-09,London,Great Britain
SWMF5005010000,M,Men's 50 m Freestyle S5,2,29703,Wang,Lichao,CHN,1993,00:32.22,32220,MQS,2019-08-26,Tianjin,China
SWMF5005010000,M,Men's 50 m Freestyle S5,3,33716,Fuhrer,Stephan,SUI,1967,00:32.73,32730,MQS,2019-06-08,Berlin,Germany
SWMF5005010000,M,Men's 50 m Freestyle S5,4,14964,Bocciardo,Francesco,ITA,1994,00:32.89,32890,MQS,2019-09-09,London,Great Britain
SWMF5005010000,M,Men's 50 m Freestyle S5,5,33355,Zulkafly,Muhammad Nur Syaiful,MAS,1995,00:33.20,33200,MQS,2019-09-09,London,Great Britain
SWMF5005010000,M,Men's 50 m Freestyle S5,6,4438,Semenenko,Yaroslav,UKR,1987,00:33.23,33230,MQS,2019-09-09,London,Great Britain
SWMF5005010000,M,Men's 50 m Freestyle S5,7,30045,Kubasov,Artur,RUS,2001,00:34.29,34290,MQS,2019-05-14,Dzerzhinsk,Russia
SWMF5005010000,M,Men's 50 m Freestyle S5,8,8941,Vo,Thanh Tung,VIE,1985,00:34.40,34400,MQS,2018-10-10,Jakarta,Indonesia
SWMF5005010000,M,Men's 50 m Freestyle S5,9,22563,Curin,Theo,FRA,2000,00:34.97,34970,MQS,2019-09-09,London,Great Britain
SWMF5005010000,M,Men's 50 m Freestyle S5,10,24287,Kabyshev,Oleksii,UKR,1998,00:35.28,35280,MQS,2019-05-03,Kamianske,Ukraine
SWMF5005010000,M,Men's 50 m Freestyle S5,11,8926,Daliyev,Siyazbek,KAZ,1990,00:35.37,35370,MQS,2019-09-09,London,Great Britain
SWMF5005010000,M,Men's 50 m Freestyle S5,12,22574,Ponce Bertran,Antoni,ESP,1987,00:35.41,35410,MQS,2019-04-28,Glasgow,Great Britain
SWMF5005010000,M,Men's 50 m Freestyle S5,13,23961,Hashad,Ahmad,EGY,2000,00:35.53,35530,MQS,2019-04-28,Glasgow,Great Britain
SWMF5005010000,M,Men's 50 m Freestyle S5,14,3865,Rodriguez,Sebastian,ESP,1957,00:35.64,35640,MQS,2019-03-30,MADRID,Spain
SWMF5005010000,M,Men's 50 m Freestyle S5,15,3805,Kryzhanovskiy,Dmitry,RUS,1974,00:36.07,36070,MQS,2019-05-14,Dzerzhinsk,Russia
SWMF5005010000,M,Men's 50 m Freestyle S5,16,10930,Mullen,Andrew,GBR,1996,00:36.11,36110,MQS,2018-12-01,Manchester,Great Britain
SWMF5005010000,M,Men's 50 m Freestyle S5,17,26718,Li,Junsheng,CHN,2000,00:36.49,36490,MET,2018-10-10,Jakarta,Indonesia
SWMF5007020000,M,Men's 50 m Freestyle S7,1,32250,Trusov,Andrii,UKR,2000,00:27.07,27070,MQS,2019-09-15,London,Great Britain
SWMF5007020000,M,Men's 50 m Freestyle S7,2,17226,Hrynenko,Bohdan,UKR,1995,00:27.69,27690,MQS,2019-05-02,Kamianske,Ukraine
SWMF5007020000,M,Men's 50 m Freestyle S7,3,10594,Sukharev,Sergei,RUS,1991,00:27.81,27810,MQS,2019-09-15,London,Great Britain
SWMF5007020000,M,Men's 50 m Freestyle S7,4=,29017,Zhang,Yilong,CHN,1996,00:27.92,27920,MQS,2019-08-31,Tianjin,China
SWMF5007020000,M,Men's 50 m Freestyle S7,4=,8935,Bohodaiko,Yevhenii,UKR,1994,00:27.92,27920,MQS,2019-09-15,London,Great Britain
SWMF5007020000,M,Men's 50 m Freestyle S7,6,21432,Serrano Zarate,Carlos,COL,1998,00:28.11,28110,MQS,2019-05-09,Medellín,Colombia
SWMF5007020000,M,Men's 50 m Freestyle S7,7,5304,Levy,Matthew,AUS,1987,00:28.93,28930,MQS,2019-04-11,Adelaide,Australia
SWMF5007020000,M,Men's 50 m Freestyle S7,8,20612,Toh,Wei Soong,SGP,1998,00:29.01,29010,MQS,2018-10-06,Jakarta,Indonesia
