Label;NPC;Family Name;Given Name;Rank;SDMSID;Event Code
Men's 50 m Backstroke S1;UKR;Boiko;Hennadii;1;17859;SWMBA001010000
Men's 50 m Backstroke S1;UKR;Kol;Anton;2;19808;SWMBA001010000
Men's 50 m Backstroke S2;CHN;Yang;Yang;1;16890;SWMBA002010000
Men's 50 m Backstroke S2;RUS;Kokarev;Dmitrii;2;3366;SWMBA002010000
Men's 50 m Backstroke S3;UKR;Vynohradets;Dmytro;1;3461;SWMBA003010000
Men's 50 m Backstroke S3;ITA;Boni;Vincenzo;2;26431;SWMBA003010000
Men's 50 m Backstroke S4;RUS;Zhdanov;Roman;1;20545;SWMBA004010000
Men's 50 m Backstroke S4;MEX;Reyes;Juan;2;3535;SWMBA004010000
Men's 50 m Backstroke S5;BRA;Dias;Daniel;1;3761;SWMBA005010000
Men's 50 m Backstroke S5;GBR;Mullen;Andrew;2;10930;SWMBA005010000
Men's 100 m Backstroke S1;UKR;Boiko;Hennadii;1;17859;SWMBA101010000
Men's 100 m Backstroke S1;UKR;Kol;Anton;2;19808;SWMBA101010000
Men's 100 m Backstroke S2;UKR;Palamarchuk;Serhii;1;19802;SWMBA102010000
Men's 100 m Backstroke S2;RUS;Kokarev;Dmitrii;2;3366;SWMBA102010000
Men's 100 m Backstroke S6;CHN;Zheng;Tao;1;11935;SWMBA106010000
Men's 100 m Backstroke S6;BRA;Glock;Talisson;2;9079;SWMBA106010000
Men's 100 m Backstroke S7;RUS;Gladkov;Andrei;1;17277;SWMBA107010000
Men's 100 m Backstroke S7;UKR;Kvasnytsia;Marian;2;14781;SWMBA107010000
Men's 100 m Backstroke S8;RUS;Lisenkov;Konstantin;1;5309;SWMBA108010000
Men's 100 m Backstroke S8;UKR;Bozhynskyi;Iurii;2;17858;SWMBA108010000
Men's 100 m Backstroke S9;AUS;Hall;Brenden;1;5577;SWMBA109010000
Men's 100 m Backstroke S9;GBR;Crisp;James;2;5504;SWMBA109010000
Men's 100 m Backstroke S10;BRA;Brasil;Andre;1;6145;SWMBA110010000
Men's 100 m Backstroke S10;NED;van de Voort;Olivier;2;14673;SWMBA110010000
Men's 100 m Backstroke S11;UKR;Zalevskyy;Dmytro;1;7213;SWMBA111010000
Men's 100 m Backstroke S11;UKR;Smyrnov;Viktor;2;6675;SWMBA111010000
Men's 100 m Backstroke S12;RUS;Nevolin-Svetov;Aleksandr;1;6823;SWMBA112010000
